,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_241,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,Forskaliidae,g_,s_
ASV_242,Eukaryota,Porifera,Demospongiae,Poecilosclerida,Microcionidae,g_,s_
ASV_243,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,Paracalanus sp. C AC-2013
ASV_244,Eukaryota,unknown,Phaeophyceae,unassigned,unassigned,g_,s_
ASV_247,Eukaryota,Bacillariophyta,unassigned,unassigned,unassigned,g_,s_
ASV_248,Eukaryota,Picozoa,unknown,unknown,unknown,g_,s_
ASV_249,Eukaryota,Bacillariophyta,Fragilariophyceae,Thalassionemales,Thalassionemataceae,g_,s_
ASV_250,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,g_,s_
ASV_251,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_252,Eukaryota,Arthropoda,Insecta,unassigned,unassigned,g_,s_
ASV_253,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_254,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,s_
ASV_255,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus mimus
ASV_256,Eukaryota,Rotifera,Monogononta,Ploima,Synchaetidae,g_,s_
ASV_258,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,g_,s_
ASV_260,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_261,Eukaryota,Arthropoda,Insecta,Coleoptera,Staphylinidae,g_,s_
ASV_264,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_266,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_269,Eukaryota,Arthropoda,Hexanauplia,Poecilostomatoida,Oncaeidae,g_,s_
ASV_270,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_272,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_275,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_276,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_277,Eukaryota,Haptista,Haptophyta,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis globosa
ASV_278,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,g_,s_
ASV_280,Eukaryota,Haptista,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_
ASV_281,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,g_,s_
ASV_282,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_283,Eukaryota,Haptista,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_
ASV_284,Eukaryota,Haptista,Haptophyta,Phaeocystales,Phaeocystaceae,g_,s_
ASV_285,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,g_,s_
ASV_286,Eukaryota,unknown,Raphidophyceae,Chattonellales,Chattonellaceae,Fibrocapsa,Fibrocapsa japonica
ASV_287,Eukaryota,Arthropoda,Insecta,Diptera,unassigned,g_,s_
ASV_290,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,g_,s_
ASV_291,Eukaryota,Mollusca,Gastropoda,unknown,Pachychilidae,g_,s_
ASV_292,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira pseudonana
ASV_296,Eukaryota,Bacillariophyta,unassigned,unassigned,unassigned,g_,s_
ASV_299,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,Calanus pacificus
ASV_301,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,Calanus pacificus
ASV_303,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_304,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_305,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calocalanidae,g_,s_
ASV_307,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_308,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus mimus
ASV_310,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_311,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_312,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_313,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,unassigned,g_,s_
ASV_317,Eukaryota,Ascomycota,Dothideomycetes,unassigned,unassigned,g_,s_
ASV_318,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_319,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,Forskaliidae,g_,s_
ASV_320,Eukaryota,Arthropoda,Insecta,Diptera,Mycetophilidae,g_,s_
ASV_321,Eukaryota,Haptista,Haptophyta,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis pouchetii
ASV_323,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_324,unassigned,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_327,Eukaryota,Arthropoda,Hexanauplia,Calanoida,unassigned,unassigned,unassigned
ASV_328,Eukaryota,Haptista,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_
ASV_329,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_331,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,g_,s_
ASV_333,Eukaryota,Haptista,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_
ASV_335,Eukaryota,Haptista,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_
ASV_336,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_338,Eukaryota,Haptista,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_
ASV_341,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,Clausophyidae,Chuniphyes,Chuniphyes multidentata
ASV_342,unassigned,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_343,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,g_,s_
ASV_345,Eukaryota,Haptista,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_
ASV_346,Eukaryota,unknown,Oomycota,Peronosporales,Peronosporaceae,g_,s_
ASV_348,Eukaryota,Arthropoda,Insecta,Diptera,unassigned,g_,s_
ASV_349,Eukaryota,Haptista,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_
ASV_352,Eukaryota,unknown,Oomycetes,unassigned,unassigned,g_,s_
ASV_353,Eukaryota,unknown,Phaeophyceae,Ectocarpales,Chordariaceae,g_,s_
ASV_354,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_355,Eukaryota,Chordata,Ascidiacea,Enterogona,Ascidiidae,Ascidia,Ascidia ahodori
ASV_356,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_357,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_358,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_359,Eukaryota,Haptista,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_
ASV_360,Eukaryota,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,Euphausia pacifica
ASV_363,Eukaryota,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,g_,s_
ASV_364,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,Ctenocalanus,Ctenocalanus vanus
ASV_365,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_367,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,g_,s_
ASV_368,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,unassigned
ASV_369,Eukaryota,Cnidaria,Hydrozoa,Narcomedusae,unknown,g_,s_
ASV_371,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_377,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_378,Eukaryota,Haptista,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_
ASV_379,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,Agalmatidae,Nanomia,Nanomia bijuga
ASV_380,Bacteria,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_381,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_382,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_386,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_387,Eukaryota,unknown,Phaeophyceae,Fucales,Hormosiraceae,g_,s_
ASV_390,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_391,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_392,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_393,Eukaryota,Rotifera,Monogononta,Ploima,Synchaetidae,g_,s_
ASV_396,Eukaryota,unknown,Phaeophyceae,Sphacelariales,Sphacelariaceae,g_,s_
ASV_397,Eukaryota,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,g_,s_
ASV_399,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_400,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_403,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_404,Eukaryota,Haptista,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_
ASV_406,Eukaryota,Echinodermata,Ophiuroidea,Ophiurida,Amphiuridae,Amphiodia,unassigned
ASV_408,Eukaryota,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,g_,s_
ASV_410,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_414,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,Forskaliidae,g_,s_
ASV_415,Eukaryota,Arthropoda,Insecta,Diptera,Cylindrotomidae,g_,s_
ASV_417,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
